,Academic,Practitioner,accuracy,macro avg,weighted avg
precision,0.7853403141361257,0.7725563909774437,0.7759336099585062,0.7789483525567846,0.7773481519401031
recall,0.5535055350553506,0.9092920353982301,0.7759336099585062,0.7313987852267904,0.7759336099585062
f1-score,0.6493506493506493,0.8353658536585367,0.7759336099585062,0.742358251504593,0.7656423123481114
support,271.0,452.0,0.7759336099585062,723.0,723.0
