model,avg_precision_weighted,avg_recall_weighted,avg_f1_weighted,avg_accuracy
LogisticRegression(class_weight='balanced'),0.703030561882354,0.6959192828409851,0.6981861758980484,0.6959192828409851
DecisionTreeClassifier(class_weight='balanced'),0.5760915133388214,0.5701664203087196,0.5723192345768082,0.5701664203087196
RandomForestClassifier(class_weight='balanced'),0.6501515213852468,0.6621866290143477,0.5717200120013043,0.6621866290143477
HistGradientBoostingClassifier(class_weight='balanced'),0.6684558943381326,0.6917003110728704,0.6727867248004474,0.6917003110728704
