model,avg_precision,avg_recall,avg_f1,avg_accuracy
LogisticRegression(class_weight='balanced'),0.7685715824693824,0.7660886447371323,0.7669055573786896,0.7660886447371323
DecisionTreeClassifier(class_weight='balanced'),0.6568840953894487,0.6560416528779756,0.6563038641773427,0.6560416528779756
RandomForestClassifier(class_weight='balanced'),0.7716192957100516,0.7657010905935386,0.7524644224695771,0.7657010905935386
HistGradientBoostingClassifier(class_weight='balanced'),0.7671710636884381,0.7683926430898435,0.7669830791943755,0.7683926430898435
