,Academic,Practitioner,accuracy,macro avg,weighted avg
precision,0.7978142076502732,0.7685185185185185,0.7759336099585062,0.7831663630843959,0.7794993369897572
recall,0.5387453874538746,0.918141592920354,0.7759336099585062,0.7284434901871143,0.7759336099585062
f1-score,0.6431718061674009,0.8366935483870968,0.7759336099585062,0.7399326772772488,0.7641563531705856
support,271.0,452.0,0.7759336099585062,723.0,723.0
