model,avg_precision_weighted,avg_recall_weighted
LogisticRegression(multi_class='ovr'),0.684750276685593,0.7557140813845383
MultinomialNB(),0.6855095732739963,0.7058392333547879
DecisionTreeClassifier(),0.6293547984060889,0.6187477651433884
RandomForestClassifier(),0.586084211823988,0.7481012658227848
