,Academic,Practitioner,accuracy,macro avg,weighted avg
precision,0.4983388704318937,0.7132701421800948,0.623789764868603,0.6058045063059943,0.6327080748996486
recall,0.5535055350553506,0.665929203539823,0.623789764868603,0.6097173692975868,0.623789764868603
f1-score,0.5244755244755246,0.6887871853546911,0.623789764868603,0.6066313549151079,0.6271987204885028
support,271.0,452.0,0.623789764868603,723.0,723.0
