,Academic,Practitioner,accuracy,macro avg,weighted avg
precision,0.8022598870056498,0.7637362637362637,0.7731673582295989,0.7829980753709567,0.7781759620848163
recall,0.5239852398523985,0.922566371681416,0.7731673582295989,0.7232758057669073,0.7731673582295989
f1-score,0.6339285714285715,0.8356713426853706,0.7731673582295989,0.734799957056971,0.7600526829196824
support,271.0,452.0,0.7731673582295989,723.0,723.0
