,Academic,Practitioner,accuracy,macro avg,weighted avg
precision,0.8983050847457628,0.6716867469879518,0.690179806362379,0.7849959158668574,0.7566294434365919
recall,0.19557195571955718,0.9867256637168141,0.690179806362379,0.5911488097181856,0.690179806362379
f1-score,0.3212121212121212,0.7992831541218638,0.690179806362379,0.5602476376669925,0.6200891708320433
support,271.0,452.0,0.690179806362379,723.0,723.0
