model,avg_precision_weighted,avg_recall_weighted,avg_accuracy
LogisticRegression(multi_class='ovr'),0.604705983125308,0.7117985524624528,0.7117985524624528
MultinomialNB(),0.5054745846998734,0.7109652263179235,0.7109652263179235
DecisionTreeClassifier(),0.617844645911782,0.6025767548589125,0.6025767548589125
RandomForestClassifier(),0.6257561851516,0.7167821188568076,0.7167821188568076
